source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,"25,февраля,в,20:46","The fake news media and radical left-wing politicians want me to fail so badly. But, I will never let the American people down!",21 тыс.,18 тыс.,498,3 тыс.,52,15,51,Комментарии: 2 659,/story.php?story_fbid=10162205121175725&id=153080620724
Donald J. Trump,,"25,февраля,в,16:33","President Donald J. Trump's schedule for Monday, February 25th: -Participate in 2019 White House Business Session with Our Nation’s Governors -Depart Washington, D.C. en route to Hanoi, Vietnam",15 тыс.,12 тыс.,293,"1,9 тыс.",55,2,27,Комментарии: 2 342,/story.php?story_fbid=10162206633225725&id=153080620724
Donald J. Trump,,"25,февраля,в,01:14","For the first time, in a very long time, our country is WINNING again!",40 тыс.,33 тыс.,751,"6,3 тыс.",81,12,69,Комментарии: 4 119,/story.php?story_fbid=10162190715765725&id=153080620724
Donald J. Trump,,"26,февраля,в,20:18",We are achieving extraordinary prosperity in the U.S. as a result of putting AMERICA First!,33 тыс.,27 тыс.,511,"4,9 тыс.",80,6,38,Комментарии: 2 765,/story.php?story_fbid=10162212694295725&id=153080620724
Donald J. Trump,,"24,февраля,в,20:12","""Anti-conservative censorship online has gone from bad to worse. As major social media platforms start to target me for censorship, I shudder to think what it means for millions of other Americans, especially as we approach the 2020 presidential campaign.""",33 тыс.,23 тыс.,612,535,"1,9 тыс.",794,"6,5 тыс.",Комментарии: 4 719,/story.php?story_fbid=10162201650830725&id=153080620724
Donald J. Trump,,"24,февраля,в,03:11","""While legal immigrants are required to receive an extensive series of inoculations, including the measles vaccine, there is no way to ensure that illegal immigrants are free from measles or other contagious diseases.""",34 тыс.,29 тыс.,368,"1,2 тыс.",621,341,"2,7 тыс.",Комментарии: 4 424,/story.php?story_fbid=10162197182005725&id=153080620724
Donald J. Trump,,"23,февраля,в,19:03",This month we honor the legacy of African Americans who bravely battled oppression to usher in a new dawn of freedom for America.,15 тыс.,12 тыс.,279,2 тыс.,31,8,48,Комментарии: 2 041,/story.php?story_fbid=10162196291415725&id=153080620724
Donald J. Trump,,"23,февраля,в,01:15",Our economy is one of the best in history. We are doing tremendous things for American families and businesses!,12 тыс.,10 тыс.,364,"1,7 тыс.",25,5,31,Комментарии: 1 844,/story.php?story_fbid=10162195562185725&id=153080620724
Donald J. Trump,,"23,февраля,в,00:01",The Fake News Media intentionally demeans the great work we are doing for the country. We will not let it get in the way of our success!,35 тыс.,30 тыс.,1 тыс.,"3,6 тыс.",57,74,148,Комментарии: 5 144,/story.php?story_fbid=10162196185360725&id=153080620724
Donald J. Trump,,"23,февраля,в,04:04",MAGA!,30 тыс.,25 тыс.,682,"4,2 тыс.",118,52,168,Комментарии: 3 408,/story.php?story_fbid=10162196553430725&id=153080620724
Donald J. Trump,,"23,февраля,в,21:15","This week my administration took the necessary steps to defend America's interest at home, abroad and in space!",10 тыс.,"8,9 тыс.",342,"1,5 тыс.",23,4,36,Комментарии: 2 155,/story.php?story_fbid=10162197169820725&id=153080620724
Donald J. Trump,,"22,февраля,в,23:14","""As the race for the Democratic presidential nomination heats up, the candidates have engaged in an escalating competition to claim the most radical policy agenda.""",20 тыс.,12 тыс.,"5,9 тыс.",605,323,173,337,Комментарии: 4 308,/story.php?story_fbid=10162191293275725&id=153080620724
Donald J. Trump,,"22,февраля,в,16:43","President Donald J. Trump's schedule for Friday, February 22nd: -Meet with the Vice Premier of the People’s Republic of China -Deliver Remarks at the Republican Governors Association event","8,9 тыс.","7,4 тыс.",226,"1,1 тыс.",28,4,22,Комментарии: 1 575,/story.php?story_fbid=10162193844035725&id=153080620724
Donald J. Trump,,"22,февраля,в,04:04",'Medicare for All' would be a total disaster for our country!,31 тыс.,22 тыс.,"2,1 тыс.",622,514,319,"4,8 тыс.",Комментарии: 8 859,/story.php?story_fbid=10162191341180725&id=153080620724
Donald J. Trump,,"22,февраля,в,20:47","I want 5G, and even 6G, technology in the United States as soon as possible. It is far more powerful, faster, and smarter than the current standard. American companies must step up their efforts, or get left behind. There is no reason that we should be lagging behind on something that is so obviously the future. I want the United States to win through competition, not by blocking out currently more advanced technologies. We must always be the leader in everything we do, especially when it comes to the very exciting world of technology!",38 тыс.,32 тыс.,971,4 тыс.,163,99,319,Комментарии: 5 133,/story.php?story_fbid=10162195510030725&id=153080620724
Donald J. Trump,,"22,февраля,в,05:38",I will keep delivering for the American people. THANK YOU! #MAGA,30 тыс.,25 тыс.,572,"4,6 тыс.",34,6,48,Комментарии: 3 475,/story.php?story_fbid=10162190706120725&id=153080620724
Donald J. Trump,,"22,февраля,в,00:57",Keep America Safe!Держите Америку в безопасности!,78 тыс.,65 тыс.,758,11 тыс.,99,19,58,Комментарии: 7 049,/story.php?story_fbid=10162191169875725&id=153080620724
Donald J. Trump,,"21,февраля,в,21:08","For the latest news from my campaign, subscribe to the Donald J. Trump for President podcast now! Get it on iTunes: https://itunes.apple.com/us/podcast/donald-j-trump-for-president/id1446455762 Get it on Spotify: https://open.spotify.com/show/3nyFqXR9pv5U5h2sVc0t7N Get it on Google Play: https://play.google.com/music/listen?u=0#/ps/Ivd3es5lohyatzo5rsqenyzks3q","7,7 тыс.","6,3 тыс.",335,980,22,4,40,Комментарии: 1 236,/story.php?story_fbid=10162190293950725&id=153080620724
Donald J. Trump,,"21,февраля,в,23:30","If we don't have a border, we don't have a country!",77 тыс.,63 тыс.,"1,5 тыс.",12 тыс.,183,27,156,Комментарии: 6 793,/story.php?story_fbid=10162190755105725&id=153080620724
Donald J. Trump,,"21,февраля,в,16:30","President Donald J. Trump's schedule for Thursday, February 21st: -Receive intelligence briefing -Lunch with the Acting Secretary of the Interior -Participate in a reception for National African American History Month","9,1 тыс.","7,5 тыс.",261,"1,2 тыс.",20,6,24,Комментарии: 1 662,/story.php?story_fbid=10162187828380725&id=153080620724
Donald J. Trump,,"21,февраля,в,07:00",America is winning because we are finally putting AMERICA FIRST!,19 тыс.,15 тыс.,399,"3,2 тыс.",26,5,53,Комментарии: 2 952,/story.php?story_fbid=10162187620065725&id=153080620724
Donald J. Trump,,"20,февраля,в,19:00","""China wants to become the world leader in artificial intelligence (AI) by 2030, and President Donald Trump is taking the necessary steps to ensure that won’t happen.""",21 тыс.,18 тыс.,862,"1,9 тыс.",197,17,49,Комментарии: 2 693,/story.php?story_fbid=10162182027700725&id=153080620724
Donald J. Trump,,"20,февраля,в,21:39",The Fake News is ignoring basic journalistic standards because of their left-wing political agenda! #FakeNews #MAGA 🇺🇸,26 тыс.,22 тыс.,872,"2,6 тыс.",88,246,219,Комментарии: 4 702,/story.php?story_fbid=10162185870475725&id=153080620724
Donald J. Trump,,"20,февраля,в,16:30","President Donald J. Trump's schedule for Wednesday, February 20th: -Lunch with the Secretary of State -Bilateral meeting with the Federal Chancellor of the Republic of Austria","8,2 тыс.","6,9 тыс.",245,1 тыс.,18,2,20,Комментарии: 1 690,/story.php?story_fbid=10162184207435725&id=153080620724
Donald J. Trump,,"20,февраля,в,04:00","Today, I signed a directive that brought America one step closer to establishing a Space Force. The Space Force will keep Americans safe and protect the interests of our great nation!",18 тыс.,15 тыс.,689,"2,4 тыс.",88,5,54,Комментарии: 3 043,/story.php?story_fbid=10162183188390725&id=153080620724
Donald J. Trump,,"20,февраля,в,07:00",Constitutional freedoms are under attack by radical left-wing politicians in America!,"9,5 тыс.","7,8 тыс.",346,619,87,102,596,Комментарии: 2 002,/story.php?story_fbid=10162179642690725&id=153080620724
Donald J. Trump,,"20,февраля,в,02:00",The world is beginning to realize that socialism is nothing more than a failed ideology that leads to total catastrophe.,18 тыс.,15 тыс.,486,"2,3 тыс.",48,13,58,Комментарии: 2 723,/story.php?story_fbid=10162182347590725&id=153080620724
Donald J. Trump,,"19,февраля,в,20:56","President Trump supports the people of #Venezuela and stands shoulder-to-shoulder with those in search of #Democracy and #Freedom in #Venezuela — like the mother of #ÓscarPerez.  Senior Advisor John Pence habla del gran discurso de Presidente Trump, en Español:","9,4 тыс.","7,8 тыс.",195,"1,3 тыс.",23,74,35,Комментарии: 1 222,/story.php?story_fbid=10162181809390725&id=153080620724
Donald J. Trump,,"19,февраля,в,16:18","President Donald J. Trump's schedule for Tuesday, February 19th: -Meeting with the Secretary of State -Meeting with the Secretary of Homeland Security -Lunch with the Vice President -Signing ceremony for Space Policy Directive 4","9,9 тыс.","8,2 тыс.",263,"1,3 тыс.",29,6,18,Комментарии: 2 089,/story.php?story_fbid=10162181285030725&id=153080620724
Donald J. Trump,,"20,февраля,в,00:30",Socialism has failed in Venezuela. We must never allow socialism in America!,18 тыс.,16 тыс.,361,"2,3 тыс.",56,49,60,Комментарии: 2 403,/story.php?story_fbid=10162182313620725&id=153080620724
Donald J. Trump,,"19,февраля,в,23:00",I will continue to take my message directly to the American people and avoid the filter of the Fake News Media!,146 тыс.,125 тыс.,"1,8 тыс.",19 тыс.,124,26,127,Комментарии: 7 742,/story.php?story_fbid=10162182024290725&id=153080620724
Donald J. Trump,,"19,февраля,в,04:56","The United States stands with the Venezuelan people in their quest for liberty, prosperity and democracy!",22 тыс.,18 тыс.,380,"3,4 тыс.",49,10,65,Комментарии: 2 961,/story.php?story_fbid=10162179533895725&id=153080620724
Donald J. Trump,,"18,февраля,в,17:48","President Donald J. Trump’s schedule for Monday, February 18th: -Deliver remarks to the Venezuelan American community",10 тыс.,"8,1 тыс.",415,"1,4 тыс.",34,7,36,Комментарии: 2 415,/story.php?story_fbid=10162177314520725&id=153080620724
Donald J. Trump,,"19,февраля,в,01:22",Happy Presidents' Day! #PresidentsDay2019,Markwayne Mullin и ещё 218 тыс.,177 тыс.,"2,8 тыс.",38 тыс.,184,60,243,Комментарии: 16 299,/story.php?story_fbid=10162178744905725&id=153080620724
Donald J. Trump,,"18,февраля,в,22:31","In just these last few weeks, Americans understand better than ever why we need a wall at the southern border!",17 тыс.,14 тыс.,538,"2,1 тыс.",35,8,69,Комментарии: 2 849,/story.php?story_fbid=10162174131080725&id=153080620724
Donald J. Trump,,"18,февраля,в,20:00",America will NEVER be a socialist country. Obstructionist Democrats will not have it their way!,10 тыс.,8 тыс.,422,"1,3 тыс.",62,33,119,Комментарии: 2 160,/story.php?story_fbid=10162166566925725&id=153080620724
Donald J. Trump,,"17,февраля,в,01:00",Angel Moms have been with me since the beginning of my campaign. They understand the danger of open borders.,25 тыс.,20 тыс.,383,"3,7 тыс.",40,253,80,Комментарии: 4 219,/story.php?story_fbid=10162166530295725&id=153080620724
Donald J. Trump,,"16,февраля,в,22:00",This was a week of Making America Safe and Making America Prosperous!,17 тыс.,14 тыс.,502,"2,4 тыс.",36,19,59,Комментарии: 2 275,/story.php?story_fbid=10162166806470725&id=153080620724
Donald J. Trump,,"18,февраля,в,01:00",I fight every day to uphold American values. But the Democrats want to see me fail rather than see America succeed!,32 тыс.,26 тыс.,650,"2,6 тыс.",150,"2,4 тыс.",619,Комментарии: 5 304,/story.php?story_fbid=10162169107035725&id=153080620724
Donald J. Trump,,"17,февраля,в,00:00",Protection for American families is my highest priority. Walls work and will keep us safe!,98 тыс.,79 тыс.,508,"6,1 тыс.",224,11 тыс.,689,Комментарии: 6 210,/story.php?story_fbid=10162169751605725&id=153080620724
Donald J. Trump,,"17,февраля,в,23:13",Ivanka Trump women’s initiative a step toward ‘America First’ foreign policy.,22 тыс.,19 тыс.,630,"2,4 тыс.",57,14,78,Комментарии: 2 014,/story.php?story_fbid=10162174517235725&id=153080620724
Donald J. Trump,,"16,февраля,в,20:57",Many presidents before me have signed National Emergency declarations. What I signed yesterday will keep Americans safe from an invasion of our country!,55 тыс.,44 тыс.,837,9 тыс.,88,31,227,Комментарии: 7 227,/story.php?story_fbid=10162166512895725&id=153080620724
Donald J. Trump,,"15,февраля,в,18:55","President Donald J. Trump's schedule for Friday, February 15th: · Deliver remarks on the national security and humanitarian crisis at     our southern border · Receive intelligence briefing",17 тыс.,14 тыс.,500,"2,3 тыс.",40,9,80,Комментарии: 4 225,/story.php?story_fbid=10162164771275725&id=153080620724
Donald J. Trump,,"15,февраля,в,20:26","Chuck and Nancy refused to help Build the Wall and secure our border. Now, American Patriots are fighting back! Text ""WALL"" to 88022!",44 тыс.,35 тыс.,"2,5 тыс.","5,9 тыс.",186,42,253,Комментарии: 7 649,/story.php?story_fbid=10162164875730725&id=153080620724
Donald J. Trump,,"15,февраля,в,19:07","Twitter, Facebook and Google are not for ""free expression."" They are totally biased in favor of Democrats!",51 тыс.,44 тыс.,"1,8 тыс.","3,1 тыс.",360,391,1 тыс.,Комментарии: 6 991,/story.php?story_fbid=10162161377770725&id=153080620724
Donald J. Trump,,"16,февраля,в,04:47","Today, I announced a National Emergency to help secure and control our southern border. This is a National Security crisis and I am solving it quickly!",85 тыс.,69 тыс.,"1,1 тыс.",15 тыс.,145,45,430,Комментарии: 12 665,/story.php?story_fbid=10162166441755725&id=153080620724
Donald J. Trump,,"12,февраля,в,07:20","Join me LIVE in El Paso, TX! Great crowd for a #MAGA rally! Text TRUMP to 88022 for Campaign Updates!",Jan Morgan и ещё 124 тыс.,77 тыс.,"1,7 тыс.",42 тыс.,419,208,"1,1 тыс.",Комментарии: 85 214,/story.php?story_fbid=717737358622614&id=153080620724
Donald J. Trump,,"15,февраля,в,18:39","""Israel, Gulf States Commend Kushner’s Peace Effort""",17 тыс.,15 тыс.,454,"1,4 тыс.",58,8,69,Комментарии: 1 529,/story.php?story_fbid=10162164721335725&id=153080620724
Donald J. Trump,,"10,февраля,в,01:13",It’s time for Democrats to make their choice: continue political resistance and retribution or join US in fulfilling OUR vision for America. MAGA!,27 тыс.,23 тыс.,651,"3,6 тыс.",58,8,98,Комментарии: 5 821,/story.php?story_fbid=10162135858215725&id=153080620724
Donald J. Trump,,"11,февраля,в,22:39",The truth is that we have tremendous support. So many people are standing up for OUR agenda despite constant attacks from the left!,22 тыс.,18 тыс.,566,3 тыс.,55,17,71,Комментарии: 3 234,/story.php?story_fbid=10162146113945725&id=153080620724
Donald J. Trump,,"12,февраля,в,01:05","These are ordinary Americans, not Washington politicians, who have seen first-hand how a border wall brought safety and security back to their community.",Markwayne Mullin и ещё 31 тыс.,26 тыс.,553,"3,9 тыс.",103,24,74,Комментарии: 4 663,/story.php?story_fbid=10162147396260725&id=153080620724
Donald J. Trump,,"9,февраля,в,04:11","Working hard, thank you!",85 тыс.,69 тыс.,2 тыс.,13 тыс.,190,25,97,Комментарии: 8 928,/story.php?story_fbid=10162135874995725&id=153080620724
Donald J. Trump,,"9,февраля,в,05:40","Now, we must step BOLDLY and BRAVELY into the next chapter of this great American adventure.",32 тыс.,26 тыс.,687,"5,3 тыс.",52,13,62,Комментарии: 3 528,/story.php?story_fbid=10162135691250725&id=153080620724
Donald J. Trump,,"9,февраля,в,01:21","My agenda is the agenda of the American people. This is OUR movement, and together, WE are making America GREAT again!🇺🇸",44 тыс.,34 тыс.,756,"8,4 тыс.",45,15,92,Комментарии: 4 088,/story.php?story_fbid=10162104206725725&id=153080620724
Donald J. Trump,,"9,февраля,в,06:08","My representatives have just left North Korea after a very productive meeting and an agreed upon time and date for the second Summit with Kim Jong Un. It will take place in Hanoi, Vietnam, on February 27 & 28. I look forward to seeing Chairman Kim & advancing the cause of peace!",54 тыс.,46 тыс.,915,"6,3 тыс.",288,28,87,Комментарии: 5 383,/story.php?story_fbid=10162136235750725&id=153080620724
Donald J. Trump,,"8,февраля,в,18:00","No matter the trials we face, no matter the challenges to come, we must go forward TOGETHER to create a future of American greatness!",16 тыс.,13 тыс.,320,"2,2 тыс.",22,6,32,Комментарии: 1 754,/story.php?story_fbid=10162131904915725&id=153080620724
Donald J. Trump,,"8,февраля,в,22:00",I will never apologize for advancing America's interests. AMERICA FIRST!,41 тыс.,33 тыс.,487,"7,5 тыс.",41,8,64,Комментарии: 3 097,/story.php?story_fbid=10162127362530725&id=153080620724
"Donald J. Trump,The White House",The White House,"8,февраля,в,17:24","We must choose between GREATNESS or gridlock.""I ask you to choose greatness.""",26 тыс.,21 тыс.,311,4 тыс.,32,6,29,Комментарии: 1 877,/story.php?story_fbid=10162133793040725&id=153080620724
Donald J. Trump,,"8,февраля,в,20:00","There is no limit to what we can achieve when we put our citizens first, reject politics, and choose compromise!",Aric Chen 曉天 и ещё 31 тыс.,26 тыс.,537,"4,3 тыс.",45,8,38,Комментарии: 2 763,/story.php?story_fbid=10162131928635725&id=153080620724
Donald J. Trump,,"8,февраля,в,03:39",We stand with the people of Venezuela and we resolve that America will NEVER be a socialist country.,Markwayne Mullin и ещё 124 тыс.,96 тыс.,3 тыс.,24 тыс.,235,59,239,Комментарии: 11 060,/story.php?story_fbid=10162130857980725&id=153080620724
Donald J. Trump,,"8,февраля,в,01:45","I'll be in El Paso, Texas for a BIG rally on Monday, February 11th at 7:00 PM MT! Get tickets!",29 тыс.,23 тыс.,508,"4,5 тыс.",95,14,77,Комментарии: 2 901,/story.php?story_fbid=10162126335115725&id=153080620724
Donald J. Trump,,"7,февраля,в,23:45",So many Americans AGREE with our vision of American greatness!,57 тыс.,46 тыс.,957,10 тыс.,116,18,65,Комментарии: 4 290,/story.php?story_fbid=10162130669455725&id=153080620724
Donald J. Trump,,"7,февраля,в,22:18",THANK YOU!,170 тыс.,136 тыс.,"2,1 тыс.",31 тыс.,527,20,95,Комментарии: 9 576,/story.php?story_fbid=10162130668050725&id=153080620724
Donald J. Trump,,"1,марта,в,02:23","Just visited our brave warriors at Elmendorf Air Force Base in beautiful Anchorage, Alaska. Thank you!",24 тыс.,19 тыс.,261,"4,6 тыс.",55,8,27,Комментарии: 2 253,/story.php?story_fbid=10162222123800725&id=153080620724
Donald J. Trump,,"7,февраля,в,20:30",Now is the time for all sides to come together and Choose Greatness!,52 тыс.,42 тыс.,864,"8,9 тыс.",49,15,64,Комментарии: 4 045,/story.php?story_fbid=10162126553680725&id=153080620724
Donald J. Trump,,"7,февраля,в,03:07","Where walls go up, illegal crossings go way down. Walls WORK and walls SAVE LIVES!",39 тыс.,32 тыс.,521,"6,5 тыс.",39,13,85,Комментарии: 4 842,/story.php?story_fbid=10162126536055725&id=153080620724
Donald J. Trump,,"6,февраля,в,23:25",Victory is WINNING for our COUNTRY.🇺🇸,119 тыс.,97 тыс.,808,20 тыс.,91,11,67,Комментарии: 4 373,/story.php?story_fbid=10162126329145725&id=153080620724
Donald J. Trump,,"7,февраля,в,00:26","We must REJECT the politics of resistance and EMBRACE the boundless potential of cooperation, compromise, and the common good.",44 тыс.,36 тыс.,547,"7,6 тыс.",59,11,59,Комментарии: 3 992,/story.php?story_fbid=10162126523480725&id=153080620724
Donald J. Trump,,"6,февраля,в,21:54",I am asking you to CHOOSE GREATNESS!,42 тыс.,32 тыс.,533,"8,7 тыс.",56,14,43,Комментарии: 3 973,/story.php?story_fbid=10162126278505725&id=153080620724
Donald J. Trump,,"7,февраля,в,17:00","President Donald J. Trump’s schedule for Thursday, February 7th: · 2019 National Prayer Breakfast · Lunch with the Secretary of State · National Security Presidential Memorandum Signing to Launch the “Women’s Global Development and Prosperity” Initiative",15 тыс.,12 тыс.,286,"2,3 тыс.",25,7,19,Комментарии: 2 055,/story.php?story_fbid=10162128376130725&id=153080620724
Donald J. Trump,,"6,февраля,в,08:42",The decision is OURS to make.,171 тыс.,131 тыс.,875,37 тыс.,167,24,74,Комментарии: 8 906,/story.php?story_fbid=10162124020205725&id=153080620724
Donald J. Trump,,"6,февраля,в,07:14",LIVE: President Trump's State of The Union,130 тыс.,78 тыс.,"1,1 тыс.",50 тыс.,287,186,740,Комментарии: 85 565,/story.php?story_fbid=1889099687884407&id=153080620724
Donald J. Trump,,"6,февраля,в,03:11",Looking forward to tonight! #SOTU,26 тыс.,21 тыс.,619,"4,9 тыс.",56,11,55,Комментарии: 3 713,/story.php?story_fbid=10162122680265725&id=153080620724
Donald J. Trump,,"6,февраля,в,01:05",The American economy is stronger than ever. We have some of the BEST employment numbers in the HISTORY of our country!,22 тыс.,18 тыс.,351,"3,5 тыс.",46,5,35,Комментарии: 2 413,/story.php?story_fbid=10162121608470725&id=153080620724
Donald J. Trump,,"5,февраля,в,19:16",Tune in at 9pm EST tonight as I deliver the State of the Union Address! Add your name to be displayed LIVE during my speech: bit.ly/2MOxkbj,42 тыс.,35 тыс.,663,"6,6 тыс.",59,16,83,Комментарии: 5 552,/story.php?story_fbid=10162120925020725&id=153080620724
Donald J. Trump,,"5,февраля,в,22:18","""By the end of next year, NATO allies will add $100 billion extra toward defense...President Donald Trump is having an impact.”",Aric Chen 曉天 и ещё 30 тыс.,26 тыс.,484,"3,2 тыс.",142,17,57,Комментарии: 1 813,/story.php?story_fbid=10162120806590725&id=153080620724
Donald J. Trump,,"4,февраля,в,22:27","Our economy is exceeding expectations – unprecedented job growth, historically low unemployment, and rising wages. MAGA!",27 тыс.,22 тыс.,477,"4,2 тыс.",128,8,39,Комментарии: 2 536,/story.php?story_fbid=10162117157255725&id=153080620724
Donald J. Trump,,"5,февраля,в,02:00",Nancy Pelosi doesn’t want to give proper border security for political reasons. She's doing a terrible disservice to the people of our country!,35 тыс.,30 тыс.,567,"3,1 тыс.",120,253,547,Комментарии: 4 936,/story.php?story_fbid=10162117385810725&id=153080620724
Donald J. Trump,,"6,февраля,в,06:52",LIVE: President Trump's State of the Union Address,76 тыс.,45 тыс.,742,29 тыс.,157,86,454,Комментарии: 35 480,/story.php?story_fbid=303841417150497&id=153080620724
Donald J. Trump,,"5,февраля,в,06:00",This is an invasion of our country. We need a WALL!,37 тыс.,31 тыс.,765,"4,9 тыс.",70,24,97,Комментарии: 4 806,/story.php?story_fbid=10162117339785725&id=153080620724
Donald J. Trump,,"5,февраля,в,00:00",Let's get the JOB DONE!,14 тыс.,11 тыс.,320,"2,2 тыс.",23,3,36,Комментарии: 1 898,/story.php?story_fbid=10162103943600725&id=153080620724
Donald J. Trump,,"5,февраля,в,04:01","""The Trump administration’s support of the pro-democracy movement reassures Venezuelans and our allies that America first doesn’t mean America alone.” - Senior Advisor John Pence",20 тыс.,18 тыс.,656,2 тыс.,86,9,103,Комментарии: 1 904,/story.php?story_fbid=10162117810295725&id=153080620724
Donald J. Trump,,"3,февраля,в,01:01",Only through UNITY can we deliver for the people we were elected to serve!,24 тыс.,20 тыс.,378,"3,9 тыс.",35,10,46,Комментарии: 2 622,/story.php?story_fbid=10162104039670725&id=153080620724
Donald J. Trump,,"3,февраля,в,22:00","The motto is, “In God We Trust.”",42 тыс.,34 тыс.,595,"7,9 тыс.",58,19,61,Комментарии: 4 570,/story.php?story_fbid=10162103858055725&id=153080620724
Donald J. Trump,,"4,февраля,в,20:13","Tomorrow night I will address the nation, sharing my vision for a safer, stronger, and more prosperous America!",25 тыс.,21 тыс.,479,"3,7 тыс.",36,16,62,Комментарии: 2 573,/story.php?story_fbid=10162116799420725&id=153080620724
Donald J. Trump,,"3,февраля,в,04:00","Only fools, or people with a political agenda, don’t want a wall to protect our country from drugs, crime, and human trafficking. It will happen – it always does!",23 тыс.,20 тыс.,590,"2,4 тыс.",59,27,80,Комментарии: 3 222,/story.php?story_fbid=10162104267805725&id=153080620724
Donald J. Trump,,"3,февраля,в,19:00",Tune in to hear how I am fighting for you!,23 тыс.,19 тыс.,620,"3,4 тыс.",39,12,55,Комментарии: 2 708,/story.php?story_fbid=10162108946940725&id=153080620724
Donald J. Trump,,"2,февраля,в,02:21","As one team, one people, and one American family, we can accomplish ANYTHING.",29 тыс.,23 тыс.,426,5 тыс.,43,9,59,Комментарии: 3 597,/story.php?story_fbid=10162103848700725&id=153080620724
Donald J. Trump,,"2,февраля,в,00:21","Best January for the DOW in over 30 years. We have, by far, the STRONGEST economy in the world!",58 тыс.,48 тыс.,878,"8,6 тыс.",208,10,55,Комментарии: 4 355,/story.php?story_fbid=10162103644005725&id=153080620724
Donald J. Trump,,"2,февраля,в,22:01",This isn’t about technology and this isn’t about politics. This is about practicality and SECURITY for our nation!,46 тыс.,39 тыс.,631,"5,9 тыс.",79,29,105,Комментарии: 4 607,/story.php?story_fbid=10162099133595725&id=153080620724
Donald J. Trump,,"1,февраля,в,19:25","America First doesn’t mean America alone. Venezuela, we are with you!",19 тыс.,16 тыс.,430,"2,6 тыс.",59,18,84,Комментарии: 1 976,/story.php?story_fbid=10162102301105725&id=153080620724
Donald J. Trump,,"1,февраля,в,21:10","JOBS, JOBS, JOBS!Рабочие места, рабочие места, рабочие места!",79 тыс.,68 тыс.,974,9 тыс.,372,13,44,Комментарии: 3 880,/story.php?story_fbid=10162102829890725&id=153080620724
Donald J. Trump,,"1,февраля,в,17:42",The media continue to prove themselves as the true ENEMY OF THE PEOPLE!,26 тыс.,23 тыс.,814,"1,5 тыс.",160,221,343,Комментарии: 3 327,/story.php?story_fbid=10162093394125725&id=153080620724
Donald J. Trump,,"1,февраля,в,07:00","In 5 days, I'm bringing my message straight to YOU.",23 тыс.,18 тыс.,420,"4,3 тыс.",33,9,53,Комментарии: 3 567,/story.php?story_fbid=10162099461580725&id=153080620724
Donald J. Trump,,"1,февраля,в,05:00",These are the consequences of our broken immigration system.,27 тыс.,22 тыс.,307,"1,4 тыс.",392,398,2 тыс.,Комментарии: 3 641,/story.php?story_fbid=10162098323935725&id=153080620724
Donald J. Trump,,"1,февраля,в,17:17","President Donald J. Trump's schedule for Friday, February 1st: · Meeting on fighting human trafficking on the southern border  · Lunch with Secretary of State · Travel to Palm Beach, FL",19 тыс.,16 тыс.,425,"2,3 тыс.",39,6,47,Комментарии: 2 697,/story.php?story_fbid=10162101858455725&id=153080620724
Donald J. Trump,,"1,февраля,в,02:25","Now more than ever, we need a WALL!",47 тыс.,40 тыс.,1 тыс.,"4,1 тыс.",605,468,932,Комментарии: 5 608,/story.php?story_fbid=10162098158085725&id=153080620724
Donald J. Trump,,"31,января,в,18:05","The media tries to make it look like I am against ""intelligence."" I am not! ""Questioning of the CIA and other intelligence agency assessments is precisely what a prudent leader should do before making critical decisions affecting our national security.""",Aric Chen 曉天 и ещё 32 тыс.,28 тыс.,722,"3,1 тыс.",70,18,85,Комментарии: 4 992,/story.php?story_fbid=10162093367395725&id=153080620724
Donald J. Trump,,"31,января,в,22:39","No more political games. It’s time to come together, make a deal, and put COUNTRY first!",36 тыс.,31 тыс.,659,"4,5 тыс.",40,10,65,Комментарии: 4 135,/story.php?story_fbid=10162098003095725&id=153080620724
Donald J. Trump,,"31,января,в,02:19",It's time to put AMERICA FIRST!,29 тыс.,24 тыс.,553,"4,7 тыс.",40,13,51,Комментарии: 4 359,/story.php?story_fbid=10162094594395725&id=153080620724
Donald J. Trump,,"1,февраля,в,00:25","""China is finally being held accountable, and investors are starting to realize that Trump knows what he’s doing here."" I agree Dr. Gina!",63 тыс.,56 тыс.,939,"5,8 тыс.",188,8,49,Комментарии: 2 566,/story.php?story_fbid=10162093414460725&id=153080620724
Donald J. Trump,,"30,января,в,21:00",It's time to prove that we can put COUNTRY before PARTY.,56 тыс.,48 тыс.,913,"7,4 тыс.",82,15,81,Комментарии: 5 025,/story.php?story_fbid=10162093427140725&id=153080620724
Donald J. Trump,,"29,января,в,03:16","America is back, bigger and better and stronger than ever before!",36 тыс.,29 тыс.,969,"5,7 тыс.",119,17,77,Комментарии: 4 134,/story.php?story_fbid=10162074410045725&id=153080620724
Donald J. Trump,,"29,января,в,21:33","After all that I have done, does anybody really think I won’t build the WALL? Done more in first two years than any President! MAKE AMERICA GREAT AGAIN!",102 тыс.,82 тыс.,"1,9 тыс.",18 тыс.,198,31,152,Комментарии: 11 331,/story.php?story_fbid=10162089194265725&id=153080620724
